horizon,mse,rmse,mae,mape,mdape,smape,coverage
87 days,0.022738446641014386,0.15079272741420385,0.12024714221561515,1.17772601308495,0.43056572033286467,0.7293436814716242,0.705
88 days,0.022684378249597317,0.15061334021127518,0.12034148909314485,1.1432894133458917,0.42512239285638087,0.7248387747467518,0.705625
89 days,0.02222764773619867,0.14908939511648261,0.11935155142203778,1.0496851212018663,0.4135478466214552,0.7129332820281722,0.715625
90 days,0.022230435763787217,0.14909874501077203,0.1191791507921828,1.012941991953783,0.40003057362789163,0.710356631539613,0.71375
91 days,0.022207361840696768,0.14902134692954822,0.11959676322792222,1.0164616736940997,0.40003057362789163,0.7098034419601844,0.711875
92 days,0.022365443185779165,0.1495508046978657,0.12086093345197918,1.139653609450567,0.40003057362789163,0.7181378292681444,0.698125
93 days,0.022518670683692985,0.15006222270675917,0.12191836016100321,1.1501355204551884,0.4135478466214552,0.723660844336764,0.69125
94 days,0.022964887273477362,0.15154170143388704,0.1237123071595099,1.1608974068816718,0.4218048850169801,0.730464669477334,0.68125
95 days,0.024037217472798692,0.15503940619338907,0.12589776477381182,1.2014060693789315,0.43205181826405437,0.7439688692308485,0.676875
96 days,0.024583972331005177,0.15679276874589967,0.12663864914007583,1.198130247101887,0.43205181826405437,0.744213736573476,0.679375
97 days,0.02481252279120714,0.15751991236414253,0.12760132490381565,1.2117303018360446,0.4521069024137087,0.7505230513944017,0.675
98 days,0.025558124931357815,0.15986908685345586,0.12956507481078325,1.2368044313523816,0.452903671156931,0.7607016410541593,0.67
99 days,0.02618229165909241,0.16180943006849882,0.13163722425493896,1.3258659135446123,0.4575736838695086,0.7724193472021529,0.66375
100 days,0.026294857234472648,0.16215689080169443,0.13180578867598486,1.4475464829784608,0.4662623680661647,0.7759701977688294,0.66375
101 days,0.028855031298333507,0.16986768762284812,0.1357276616371143,1.5023074266219851,0.5082925229371287,0.7953040528431694,0.655
102 days,0.031101480974075967,0.1763561197522671,0.13985336601272316,1.5236152393560918,0.5276373453275114,0.8252998502945273,0.64625
103 days,0.030946821312102343,0.17591708647002527,0.1390165766612113,1.5231005728955966,0.5662864809035375,0.8340779316827076,0.6525
104 days,0.03103506819067257,0.17616772743800882,0.1395630950096587,1.520984280371184,0.5939618065745611,0.8496814080100534,0.65375
105 days,0.030944732443645998,0.17591114928749116,0.13929797479547257,1.512668735835772,0.5939618065745611,0.8720185165634402,0.6575
106 days,0.030319978335852937,0.17412632866931105,0.13703595829971346,1.433153887539488,0.6116849125951637,0.8798181343456156,0.66625
107 days,0.029626810393890413,0.17212440383016703,0.13503609041524242,1.3949687372042059,0.6116849125951637,0.8886047299806841,0.66875
108 days,0.029358531881085184,0.17134331583427811,0.13426837536809694,1.3920129523268645,0.6305565465399021,0.9008518558286377,0.66875
109 days,0.0288223903394471,0.16977158283837462,0.13298526279334497,1.2949842276880634,0.6367598792678278,0.90643619624924,0.68
110 days,0.02731708306082148,0.16527880402768372,0.12909296410237486,1.250508683109434,0.6305565465399021,0.8922590256975679,0.69625
111 days,0.027610238464315606,0.16616328855771845,0.129118197458829,1.2394835129312058,0.5939618065745611,0.8789179304051179,0.695
112 days,0.02842646612714902,0.16860150096351165,0.13174318147224262,1.234913693120336,0.5939618065745611,0.8684567947102809,0.69
113 days,0.02863561857667819,0.16922062101492888,0.13233618089081584,1.222720860132877,0.5674013626218529,0.8194864939324602,0.68
114 days,0.02915782326846478,0.17075661998430627,0.1344327959343937,1.2124418200931302,0.5276373453275114,0.7893448516086995,0.67
115 days,0.029734448617794073,0.17243679600883935,0.13620311443682726,1.2119241235289286,0.5118562847489336,0.7623643790197309,0.66
116 days,0.029065858029830527,0.1704871198355774,0.13336142248265323,1.186541510820803,0.457421543402609,0.730788992173078,0.669375
117 days,0.028757436116396508,0.169580176071369,0.1329180351347084,1.1703672356969579,0.4607779679221196,0.7207198741443829,0.67375
118 days,0.028985460662058142,0.17025116934123577,0.13402141867937686,1.1759574305121994,0.4607779679221196,0.7231563333690793,0.67875
119 days,0.029095985786483664,0.17057545481834033,0.13387637207397113,1.156014480392306,0.41876090667779303,0.7197312666832368,0.680625
120 days,0.030558281440822933,0.17480927161001195,0.13626456100653425,1.1267636690036789,0.4100021591283369,0.7148941323426938,0.676875
121 days,0.03055372495319761,0.17479623838400415,0.1367095604705656,1.1363559125176526,0.41876090667779303,0.7131945960381639,0.670625
122 days,0.031139359167893663,0.1764634782834501,0.1375528922078375,1.128571735234813,0.4014998138662522,0.7103540848101098,0.675625
123 days,0.03151323530904536,0.17751967583635725,0.13869688712962447,1.255133271680679,0.456107955209542,0.7257146327331779,0.665625
124 days,0.03138841070116132,0.17716774735024804,0.13796544682886386,1.2525715573362737,0.4280909955925909,0.7239704397560002,0.668125
125 days,0.03166771119372197,0.17795423904397997,0.13885420772622692,1.25079027865516,0.4418610086950886,0.7252172349863545,0.661875
126 days,0.03243418770726481,0.18009494081529556,0.14047042047679748,1.286076442628743,0.456107955209542,0.7336634274861383,0.659375
127 days,0.03273621173422449,0.18093151116990233,0.141611521534319,1.2835832834206702,0.46653356285712866,0.7359444844510047,0.65625
128 days,0.032810286728878146,0.1811361000156461,0.1418616060938183,1.2948416401549674,0.46653356285712866,0.7398249620166943,0.65625
129 days,0.03372436919990673,0.18364195925742768,0.14344451180205806,1.318906961119054,0.47495831610382055,0.7506338098039593,0.652
130 days,0.034392806256667116,0.1854529758636057,0.1448980895926862,1.2994835975723351,0.480607440157077,0.7582340391074515,0.65
131 days,0.03404587623618627,0.18451524662256577,0.1432144513980806,1.245393316297349,0.480607440157077,0.7497309813155222,0.6579999999999999
132 days,0.034754178630693695,0.18642472644661087,0.14514738245985734,1.275680289092557,0.4865986675641769,0.7680767722517372,0.6575
133 days,0.03683254849851676,0.19191807757091764,0.14844415115331275,1.301096793331711,0.534089401145974,0.7928176579643064,0.65625
134 days,0.036154089566867095,0.19014228768705582,0.14711657727558006,1.3018543544134813,0.544220901831704,0.8089001721322517,0.6575
135 days,0.03576046407670032,0.18910437349966372,0.14703747781020252,1.3094516562208924,0.5802906278995121,0.8317584568374602,0.65375
136 days,0.03547132054250075,0.18833831405877233,0.14642973707523121,1.3134802774645475,0.5977367943347431,0.8543200613181664,0.6575
137 days,0.035443459335924604,0.1882643336798678,0.14604417512698326,1.305281607474892,0.6059672003356257,0.8743076881977869,0.65875
138 days,0.034704517346128415,0.18629148489968192,0.1437500708309673,1.2378565833551272,0.6120415896765372,0.8840483607562248,0.6675
139 days,0.034550507651609386,0.18587766851241003,0.14365556649894137,1.1309778522366727,0.6202117087678735,0.9072292330869213,0.66875
140 days,0.03277866027772471,0.1810487787247534,0.1411046764441815,1.0727583309619138,0.6202117087678735,0.9191719891952229,0.6725
141 days,0.030477016163942494,0.17457667703316643,0.1365714478816331,1.0713457786715304,0.6165235897685439,0.9125848265394914,0.685
142 days,0.030079101892438218,0.1734332779268103,0.1362849404102466,1.0652433126269152,0.6165235897685439,0.9106667389184845,0.68875
143 days,0.031563746988265515,0.17766188952126316,0.138582210854522,1.0599565383671825,0.6165235897685439,0.9020778495674867,0.685
144 days,0.03240408864880274,0.1800113569995036,0.14117843009755585,1.1007548296511254,0.6024635587861751,0.8688864730704303,0.68
145 days,0.03226347488778446,0.17962036323252567,0.14203332768274085,1.085877942936578,0.5379753641434548,0.8298847646702834,0.68
146 days,0.0320005005796601,0.17888683735719657,0.14105040173955635,1.067021639224767,0.49811835803627524,0.7827710707655955,0.675
147 days,0.03070863554215557,0.17523879576781953,0.13829164058312005,1.1084356674181832,0.46521997466406173,0.7658760872208239,0.6729999999999999
148 days,0.030184621467380168,0.17373721957997418,0.13618799235982282,1.0850551170909801,0.42005691078999263,0.7483860412969809,0.678125
149 days,0.03155286300655364,0.17763125571405963,0.1388743809084771,1.128180912835395,0.4279503880341526,0.7598678509340046,0.668125
