ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
1850-01-01,-0.12655999999999998,-0.3110724442561777,0.028404121817746566,-0.12655999999999998,-0.12655999999999998,-0.01352621425507353,-0.01352621425507353,-0.01352621425507353,-0.01352621425507353,-0.01352621425507353,-0.01352621425507353,0.0,0.0,0.0,-0.1400862142550735,-0.36
1850-02-01,-0.12675145967799945,-0.28204882140118015,0.03369393710992084,-0.12675145967799945,-0.12675145967799945,0.0028425659449964153,0.0028425659449964153,0.0028425659449964153,0.0028425659449964153,0.0028425659449964153,0.0028425659449964153,0.0,0.0,0.0,-0.12390889373300303,-0.12
1850-03-01,-0.12692439100006347,-0.3088427988421787,0.035697575828763956,-0.12692439100006347,-0.12692439100006347,-0.007495143325567537,-0.007495143325567537,-0.007495143325567537,-0.007495143325567537,-0.007495143325567537,-0.007495143325567537,0.0,0.0,0.0,-0.134419534325631,-0.23
1850-04-01,-0.1271158506780629,-0.3131527949033422,0.027381579243669945,-0.1271158506780629,-0.1271158506780629,-0.014495681721448607,-0.014495681721448607,-0.014495681721448607,-0.014495681721448607,-0.014495681721448607,-0.014495681721448607,0.0,0.0,0.0,-0.14161153239951152,-0.19
1850-05-01,-0.1273011342374172,-0.28023824393764973,0.05243685052886279,-0.1273011342374172,-0.1273011342374172,0.00860214138004338,0.00860214138004338,0.00860214138004338,0.00860214138004338,0.00860214138004338,0.00860214138004338,0.0,0.0,0.0,-0.11869899285737383,-0.19
1850-06-01,-0.12749259391541665,-0.28094796378503406,0.0596779586570694,-0.12749259391541665,-0.12749259391541665,0.00838224238488827,0.00838224238488827,0.00838224238488827,0.00838224238488827,0.00838224238488827,0.00838224238488827,0.0,0.0,0.0,-0.11911035153052837,-0.1
1850-07-01,-0.12767787747477097,-0.2666415710162408,0.06043971658825324,-0.12767787747477097,-0.12767787747477097,0.018249716082796123,0.018249716082796123,0.018249716082796123,0.018249716082796123,0.018249716082796123,0.018249716082796123,0.0,0.0,0.0,-0.10942816139197484,-0.09
1850-08-01,-0.12786933715277043,-0.2695841038003205,0.06054848247779262,-0.12786933715277043,-0.12786933715277043,0.021847906754109924,0.021847906754109924,0.021847906754109924,0.021847906754109924,0.021847906754109924,0.021847906754109924,0.0,0.0,0.0,-0.10602143039866051,-0.11
1850-09-01,-0.12806079683076987,-0.2857131308135176,0.05029087961874496,-0.12806079683076987,-0.12806079683076987,0.019687591123280963,0.019687591123280963,0.019687591123280963,0.019687591123280963,0.019687591123280963,0.019687591123280963,0.0,0.0,0.0,-0.10837320570748891,-0.18
1850-10-01,-0.12824608039012417,-0.2992488263604169,0.04113983588554721,-0.12824608039012417,-0.12824608039012417,-0.0036757514530835183,-0.0036757514530835183,-0.0036757514530835183,-0.0036757514530835183,-0.0036757514530835183,-0.0036757514530835183,0.0,0.0,0.0,-0.1319218318432077,-0.11
1850-11-01,-0.12843754006812363,-0.2930553460094445,0.03833812070528183,-0.12843754006812363,-0.12843754006812363,-0.00671691482251852,-0.00671691482251852,-0.00671691482251852,-0.00671691482251852,-0.00671691482251852,-0.00671691482251852,0.0,0.0,0.0,-0.13515445489064215,-0.14
1850-12-01,-0.12862282362747793,-0.29739949641604746,0.03779735315593381,-0.12862282362747793,-0.12862282362747793,-0.0014449246233495096,-0.0014449246233495096,-0.0014449246233495096,-0.0014449246233495096,-0.0014449246233495096,-0.0014449246233495096,0.0,0.0,0.0,-0.13006774825082743,-0.06
1851-01-01,-0.1288142833054774,-0.2983377514330406,0.027986257319847285,-0.1288142833054774,-0.1288142833054774,-0.013112354538346032,-0.013112354538346032,-0.013112354538346032,-0.013112354538346032,-0.013112354538346032,-0.013112354538346032,0.0,0.0,0.0,-0.14192663784382342,-0.11
1851-02-01,-0.12900574298347683,-0.30289789624024077,0.04860762956335849,-0.12900574298347683,-0.12900574298347683,-0.002181304053812557,-0.002181304053812557,-0.002181304053812557,-0.002181304053812557,-0.002181304053812557,-0.002181304053812557,0.0,0.0,0.0,-0.1311870470372894,-0.06
1851-03-01,-0.12917867430554084,-0.31418852419614623,0.030608183452949456,-0.12917867430554084,-0.12917867430554084,-0.007282676871683737,-0.007282676871683737,-0.007282676871683737,-0.007282676871683737,-0.007282676871683737,-0.007282676871683737,0.0,0.0,0.0,-0.13646135117722458,-0.23
1851-04-01,-0.1293701339835403,-0.3035760162959982,0.028194748949748813,-0.1293701339835403,-0.1293701339835403,-0.010079644575653766,-0.010079644575653766,-0.010079644575653766,-0.010079644575653766,-0.010079644575653766,-0.010079644575653766,0.0,0.0,0.0,-0.13944977855919408,-0.16
1851-05-01,-0.12955541754289462,-0.28236231041456034,0.03698902684751986,-0.12955541754289462,-0.12955541754289462,0.008878985093663841,0.008878985093663841,0.008878985093663841,0.008878985093663841,0.008878985093663841,0.008878985093663841,0.0,0.0,0.0,-0.12067643244923078,-0.08
1851-06-01,-0.12974687722089406,-0.277132821992822,0.04907761043162152,-0.12974687722089406,-0.12974687722089406,0.00823425093895578,0.00823425093895578,0.00823425093895578,0.00823425093895578,0.00823425093895578,0.00823425093895578,0.0,0.0,0.0,-0.12151262628193829,-0.14
1851-07-01,-0.12993216078024836,-0.27811399439783363,0.061891683462626,-0.12993216078024836,-0.12993216078024836,0.018354187415364286,0.018354187415364286,0.018354187415364286,0.018354187415364286,0.018354187415364286,0.018354187415364286,0.0,0.0,0.0,-0.11157797336488406,-0.04
1851-08-01,-0.1301236204582478,-0.28364188576264426,0.05832037268825583,-0.1301236204582478,-0.1301236204582478,0.018242310285107446,0.018242310285107446,0.018242310285107446,0.018242310285107446,0.018242310285107446,0.018242310285107446,0.0,0.0,0.0,-0.11188131017314035,-0.01
1851-09-01,-0.13031508013624726,-0.2744205645412776,0.05502146221517966,-0.13031508013624726,-0.13031508013624726,0.017011235174268585,0.017011235174268585,0.017011235174268585,0.017011235174268585,0.017011235174268585,0.017011235174268585,0.0,0.0,0.0,-0.11330384496197868,0.02
1851-10-01,-0.13050036369560158,-0.29528815894226695,0.03766880067781341,-0.13050036369560158,-0.13050036369560158,0.0002205464626828593,0.0002205464626828593,0.0002205464626828593,0.0002205464626828593,0.0002205464626828593,0.0002205464626828593,0.0,0.0,0.0,-0.13027981723291873,-0.03
