actual,predicted
0.23,0.08395781278598727
0.25,0.06976626323324797
0.28,0.07380126804662471
0.31,0.0832228829573802
0.31,0.07769415649423897
0.5,0.05845779169411404
0.35,0.054881181273410046
0.43,0.03998436688424442
0.32,0.0605580968886761
0.33,0.062071251766459515
0.38,0.0769859489079444
0.28,0.07615348788680788
0.27,0.08670925426442076
0.22,0.08314864381227141
0.2,0.08319285230501813
0.2,0.07315824422061606
0.27,0.0697264714713426
0.23,0.06539472811341006
0.55,0.0570421064867657
0.43,0.05752408896952056
0.45,0.06351845063168306
0.38,0.06902323389962373
0.31,0.07958665281520075
0.34,0.07838519840843916
0.27,0.08915501362584925
0.26,0.08199074390316544
0.23,0.0832342187282263
0.25,0.07972423882094118
0.31,0.07575282399320721
0.45,0.06647272394697265
0.11,0.05969520707827673
0.21,0.05496517145336198
0.12,0.06661490172308651
0.21,0.07599808485907227
0.18,0.08211026486254411
0.16,0.08057027582542589
0.18,0.09153701176726096
0.15,0.08082790139531534
0.23,0.08340245452485381
0.18,0.08638062304073334
0.13,0.08171009030328372
0.41,0.06745974737789215
0.51,0.062273898798438615
0.46,0.05241617428805837
0.44,0.06984623553234592
0.25,0.0829900131580409
0.29,0.08455530543742358
0.31,0.08270889963472368
0.31,0.09385681798540343
0.36,0.07966526843266845
0.34,0.08370027324604729
0.23,0.09312188815680338
0.37,0.08759316169366874
0.27,0.06835679689353615
0.31,0.06478018647283527
0.22,0.04988337208366679
0.28,0.07045710208809637
0.13,0.07197025696587254
0.32,0.08688495410736595
0.17,0.08605249308622735
0.16,0.096608259463842
0.19,0.09304764901169628
0.2,0.0930918575044428
0.2,0.08305724942004249
0.11,0.07962547667076479
0.06,0.07529373331283148
0.29,0.0669411116861823
0.08,0.06742309416894665
0.25,0.07341745583110738
0.12,0.07892223909904598
0.22,0.08948565801463437
0.16,0.08828420360786453
0.1,0.09905401882527928
0.15,0.09188974910259579
0.16,0.09313322392764926
0.16,0.0896232440203632
0.14,0.08565182919262582
0.17,0.07637172914639911
0.23,0.0695942122776993
0.38,0.06486417665278738
0.33,0.07651390692250665
0.27,0.08589709005849397
0.35,0.09200927006197239
0.22,0.09046928102485059
0.13,0.10143601696669301
0.15,0.09072690659474743
0.04,0.09330145972427789
0.18,0.09627962824014988
0.13,0.09160909550269637
0.17,0.07735875257731532
0.3,0.07217290399786552
0.36,0.06231517948747828
0.15,0.0797452407317712
0.21,0.09288901835746322
0.33,0.09445431063685664
0.4,0.09260790483414612
0.46,0.10375582318483875
0.34,0.08956427363209003
0.4,0.09359927844547289
0.35,0.10302089335623325
0.26,0.09749216689310326
0.48,0.0782558020929614
0.54,0.0746791916722641
0.46,0.059782377283100596
0.46,0.08035610728752071
0.46,0.08186926216531465
0.48,0.09678395930678511
0.41,0.09595149828565251
0.39,0.10650726466327803
0.51,0.10294665421111476
0.41,0.10299086270387053
0.4,0.09295625461946526
0.16,0.08952448187018444
0.32,0.0851927385122542
0.12,0.07684011688561235
0.33,0.07732209936836124
0.36,0.08331646103053171
0.4,0.08882124429846007
0.24,0.09938466321404955
0.1,0.09818320880728137
0.33,0.10895302402468923
0.32,0.1017887543019989
0.4,0.10303222912707242
0.35,0.09952224921978794
0.19,0.09555083439205671
0.4,0.08627073434582005
0.4,0.07949321747712575
0.38,0.07476318185220004
0.78,0.08641291212193143
0.62,0.09579609525792213
0.51,0.10190827526139419
0.42,0.1003682862242732
0.36,0.11133502216611875
0.38,0.10062591179416684
0.3,0.10320046492369936
0.41,0.10617863343957333
0.42,0.1015081007021269
0.41,0.08725775777673903
0.42,0.08207190919729199
0.52,0.0722141846869118
0.38,0.08964424593119823
0.59,0.10278802355690381
0.44,0.10435331583627819
0.56,0.1025069100335703
0.41,0.11365482838425735
0.37,0.0994632788315133
0.39,0.10349828364489498
0.33,0.1129198985556666
0.31,0.10739117209252828
0.32,0.0881548072923852
0.44,0.08457819687167618
0.42,0.06968138248250334
0.46,0.09025511248694748
0.24,0.09176826736473573
0.37,0.10668296450620554
0.28,0.1058505034850753
0.13,0.11640626986268543
0.11,0.11284565941054799
0.06,0.1128898679032892
0.02,0.10285525981888795
0.05,0.09942348706960606
0.22,0.09509174371167599
0.34,0.08673912208502191
0.39,0.08722110456777231
0.38,0.093215466229958
0.36,0.09872024949790141
0.31,0.10928366841347724
0.32,0.10808221400670825
0.31,0.1188520292241158
0.11,0.11168775950142658
0.21,0.11293123432649785
0.22,0.10942125441920209
0.1,0.1054498395914773
0.18,0.09616973954524338
0.22,0.08939222267654887
0.06,0.08466218705162482
0.3,0.09631191732135355
0.41,0.10569510045734347
0.32,0.11180728046081395
0.43,0.11026729142369601
0.32,0.12123402736554542
0.26,0.1105249169935928
0.27,0.11309947012312101
0.45,0.11607763863899573
0.42,0.11140710590154862
0.4,0.09715676297616416
0.55,0.09197091439672098
0.77,0.08211318988632224
0.49,0.09954325113061739
0.51,0.1126870287563111
0.32,0.11425232103568965
0.5,0.11240591523299569
0.44,0.12355383358367249
