,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
0,1850-01-01,-0.11242692,-0.3028605403562848,0.07148563189376528,-0.11242692,-0.11242692,-0.0012529817498976798,-0.0012529817498976798,-0.0012529817498976798,-0.0012529817498976798,-0.0012529817498976798,-0.0012529817498976798,0.0,0.0,0.0,-0.11367990174989769,-0.36
1,1850-02-01,-0.1127501517289082,-0.2780253545202268,0.06606857004598947,-0.1127501517289082,-0.1127501517289082,0.008200358307706273,0.008200358307706273,0.008200358307706273,0.008200358307706273,0.008200358307706273,0.008200358307706273,0.0,0.0,0.0,-0.10454979342120194,-0.12
2,1850-03-01,-0.11304210296792208,-0.27892870624149346,0.0771681016889449,-0.11304210296792208,-0.11304210296792208,0.010700319717913674,0.010700319717913674,0.010700319717913674,0.010700319717913674,0.010700319717913674,0.010700319717913674,0.0,0.0,0.0,-0.10234178325000841,-0.23
3,1850-04-01,-0.11336533469683029,-0.3025760317126324,0.05023060467632397,-0.11336533469683029,-0.11336533469683029,-0.00699545882316735,-0.00699545882316735,-0.00699545882316735,-0.00699545882316735,-0.00699545882316735,-0.00699545882316735,0.0,0.0,0.0,-0.12036079351999764,-0.19
4,1850-05-01,-0.1136781395957737,-0.2987071120881804,0.07427075240873439,-0.1136781395957737,-0.1136781395957737,0.008676154220831192,0.008676154220831192,0.008676154220831192,0.008676154220831192,0.008676154220831192,0.008676154220831192,0.0,0.0,0.0,-0.10500198537494251,-0.19
5,1850-06-01,-0.11400137132468191,-0.30617087611409255,0.07312422566128937,-0.11400137132468191,-0.11400137132468191,-0.001250831644301911,-0.001250831644301911,-0.001250831644301911,-0.001250831644301911,-0.001250831644301911,-0.001250831644301911,0.0,0.0,0.0,-0.11525220296898382,-0.1
6,1850-07-01,-0.11431417622362534,-0.28601498356325095,0.0666109404149108,-0.11431417622362534,-0.11431417622362534,0.0034561213379891336,0.0034561213379891336,0.0034561213379891336,0.0034561213379891336,0.0034561213379891336,0.0034561213379891336,0.0,0.0,0.0,-0.11085805488563621,-0.09
7,1850-08-01,-0.11463740795253355,-0.2861964854593873,0.07200057653195362,-0.11463740795253355,-0.11463740795253355,0.009444954831203035,0.009444954831203035,0.009444954831203035,0.009444954831203035,0.009444954831203035,0.009444954831203035,0.0,0.0,0.0,-0.10519245312133052,-0.11
8,1850-09-01,-0.11496063968144175,-0.2920033397386999,0.07208572452521488,-0.11496063968144175,-0.11496063968144175,0.010098861091041198,0.010098861091041198,0.010098861091041198,0.010098861091041198,0.010098861091041198,0.010098861091041198,0.0,0.0,0.0,-0.10486177859040055,-0.18
9,1850-10-01,-0.1152734445803852,-0.29994309251094464,0.053511771152057706,-0.1152734445803852,-0.1152734445803852,-0.010231040899726969,-0.010231040899726969,-0.010231040899726969,-0.010231040899726969,-0.010231040899726969,-0.010231040899726969,0.0,0.0,0.0,-0.12550448548011217,-0.11
10,1850-11-01,-0.1155966763092934,-0.29805418825567076,0.06387947136817357,-0.1155966763092934,-0.1155966763092934,-0.00498074447130242,-0.00498074447130242,-0.00498074447130242,-0.00498074447130242,-0.00498074447130242,-0.00498074447130242,0.0,0.0,0.0,-0.12057742078059583,-0.14
11,1850-12-01,-0.11590948120823684,-0.28839001878830944,0.06647291864384376,-0.11590948120823684,-0.11590948120823684,-0.0017004378130774597,-0.0017004378130774597,-0.0017004378130774597,-0.0017004378130774597,-0.0017004378130774597,-0.0017004378130774597,0.0,0.0,0.0,-0.1176099190213143,-0.06
12,1851-01-01,-0.11623271293714504,-0.2850514897125262,0.06928105927096774,-0.11623271293714504,-0.11623271293714504,-0.0024920097238636273,-0.0024920097238636273,-0.0024920097238636273,-0.0024920097238636273,-0.0024920097238636273,-0.0024920097238636273,0.0,0.0,0.0,-0.11872472266100867,-0.11
13,1851-02-01,-0.11655594466605325,-0.3052347901807362,0.0684655845195199,-0.11655594466605325,-0.11655594466605325,0.005567412659367026,0.005567412659367026,0.005567412659367026,0.005567412659367026,0.005567412659367026,0.005567412659367026,0.0,0.0,0.0,-0.11098853200668622,-0.06
14,1851-03-01,-0.1168478959050671,-0.2800249195238788,0.0583122396770762,-0.1168478959050671,-0.1168478959050671,0.011701516224156203,0.011701516224156203,0.011701516224156203,0.011701516224156203,0.011701516224156203,0.011701516224156203,0.0,0.0,0.0,-0.1051463796809109,-0.23
15,1851-04-01,-0.11717112763397533,-0.2964235421168748,0.06258246467086552,-0.11717112763397533,-0.11717112763397533,-0.003287748632600691,-0.003287748632600691,-0.003287748632600691,-0.003287748632600691,-0.003287748632600691,-0.003287748632600691,0.0,0.0,0.0,-0.12045887626657602,-0.16
16,1851-05-01,-0.11748393253291875,-0.2911348308173664,0.07032413144441958,-0.11748393253291875,-0.11748393253291875,0.007112803796327437,0.007112803796327437,0.007112803796327437,0.007112803796327437,0.007112803796327437,0.007112803796327437,0.0,0.0,0.0,-0.11037112873659131,-0.08
17,1851-06-01,-0.11780716426182695,-0.305202440406645,0.06437907163659297,-0.11780716426182695,-0.11780716426182695,-0.000908322428960225,-0.000908322428960225,-0.000908322428960225,-0.000908322428960225,-0.000908322428960225,-0.000908322428960225,0.0,0.0,0.0,-0.11871548669078719,-0.14
18,1851-07-01,-0.11811996916077039,-0.2997209630619326,0.05714283909017133,-0.11811996916077039,-0.11811996916077039,0.003614044008665329,0.003614044008665329,0.003614044008665329,0.003614044008665329,0.003614044008665329,0.003614044008665329,0.0,0.0,0.0,-0.11450592515210506,-0.04
19,1851-08-01,-0.1184432008896786,-0.28077421866348573,0.07631617707771325,-0.1184432008896786,-0.1184432008896786,0.006305529398321724,0.006305529398321724,0.006305529398321724,0.006305529398321724,0.006305529398321724,0.006305529398321724,0.0,0.0,0.0,-0.11213767149135687,-0.01
20,1851-09-01,-0.1187664326185868,-0.28415667296213337,0.07500796976510947,-0.1187664326185868,-0.1187664326185868,0.008389154580207605,0.008389154580207605,0.008389154580207605,0.008389154580207605,0.008389154580207605,0.008389154580207605,0.0,0.0,0.0,-0.1103772780383792,0.02
21,1851-10-01,-0.11907923751753023,-0.32099575999009183,0.05635230879078814,-0.11907923751753023,-0.11907923751753023,-0.005409980647190255,-0.005409980647190255,-0.005409980647190255,-0.005409980647190255,-0.005409980647190255,-0.005409980647190255,0.0,0.0,0.0,-0.12448921816472049,-0.03
